Fecha_Hora,Uso_CPU_Total_Percent,Uso_RAM_Total_MB
2026-01-16 10:11:25,81.5,610.31
2026-01-16 10:11:26,63.02,615.71
2026-01-16 10:11:27,44.54,621.11
2026-01-16 10:11:28,81.12,672.16
2026-01-16 10:11:29,117.71,723.21
2026-01-16 10:11:30,61.27,627.1
2026-01-16 10:11:31,4.83,530.99
2026-01-16 10:11:32,5.46,530.52
2026-01-16 10:11:33,6.1,530.05
Promedio,51.73,606.8
