Fecha_Hora,Uso_CPU_Total_Percent,Uso_RAM_Total_MB
2026-01-16 10:14:43,16.47,528.77
2026-01-16 10:14:44,42.5,591.96
2026-01-16 10:14:45,68.53,655.15
2026-01-16 10:14:46,85.02,710.7
2026-01-16 10:14:47,101.52,766.25
2026-01-16 10:14:48,64.06,652.33
2026-01-16 10:14:49,26.59,538.4
2026-01-16 10:14:50,31.72,537.67
2026-01-16 10:14:51,36.86,536.95
2026-01-16 10:14:52,78.68,542.5
2026-01-16 10:14:53,120.49,548.05
2026-01-16 10:14:54,119.99,553.38
2026-01-16 10:14:55,119.49,558.7
2026-01-16 10:14:56,121.24,565.78
2026-01-16 10:14:57,122.98,572.86
2026-01-16 10:14:58,124.93,573.52
2026-01-16 10:14:59,126.88,574.18
2026-01-16 10:15:00,146.57,573.38
2026-01-16 10:15:01,166.26,572.58
2026-01-16 10:15:02,163.6,573.38
2026-01-16 10:15:03,160.95,574.18
2026-01-16 10:15:04,143.85,573.83
2026-01-16 10:15:05,126.76,573.48
2026-01-16 10:15:06,124.97,573.51
2026-01-16 10:15:07,123.18,573.55
2026-01-16 10:15:08,121.39,573.58
2026-01-16 10:15:09,124.4,574.07
2026-01-16 10:15:10,127.4,574.56
2026-01-16 10:15:11,126.78,573.67
2026-01-16 10:15:12,126.15,572.79
2026-01-16 10:15:13,68.65,557.83
2026-01-16 10:15:14,11.14,542.87
Promedio,102.19,580.14
