# Muestra;Proceso - Gestión Keys;Proceso - Gestión Sensores;Proceso - Gestión Tableros;Proceso - Predicción Manual;Proceso - Predicción Masiva;Proceso - Predicción Tiempo Real;
286;5122;4685;8458;8657;10098;10098;
287;5179;4199;7533;8674;11855;11855;
288;4081;3472;6395;7916;10818;10818;
289;4160;4566;5401;7690;10269;10269;
290;4158;3225;8460;7205;11163;11163;
291;4631;4934;7803;8271;12005;12005;
292;4022;4163;8286;7695;12008;12008;
293;4775;4675;7546;8019;12058;12058;
294;4519;4285;7080;8240;11009;11009;
295;4566;4470;8036;7766;11632;11632;
296;4285;4660;6493;7546;10020;10020;
297;5508;3913;7202;8616;11041;11041;
298;4289;3384;7229;7853;11024;11024;
299;3464;4165;7093;7318;10931;10931;
300;4605;3489;7196;8604;10427;10427;
301;4698;5486;7208;8145;11159;11159;
302;4096;5049;8278;7192;12253;12253;
303;3932;3624;7843;7174;10185;10185;
304;4590;5571;8323;8439;11933;11933;
305;4934;3555;7356;8297;11788;11788;
306;4075;3406;4902;7619;10687;10687;
307;4095;4893;7746;7549;10509;10509;
308;4950;5324;7430;8204;12707;12707;
309;4618;4502;6897;8096;10574;10574;
310;4453;4857;7125;7803;11099;11099;
311;3013;3816;7645;6335;11483;11483;
312;3896;4259;8225;7016;11545;11545;
313;4605;4400;7590;8297;10408;10408;
314;4502;3780;7029;7942;10673;10673;
315;3236;3968;6640;6773;10894;10894;
316;3803;4014;7272;7507;10911;10911;
317;4852;4404;7131;8031;10576;10576;
318;4519;4075;7016;8067;10715;10715;
319;3051;4815;7584;6683;10409;10409;
320;3745;4829;7537;6682;11666;11666;
321;4566;4979;7850;8150;11681;11681;
322;3796;3504;7580;7466;11504;11504;
323;4519;4390;7133;8166;11030;11030;
324;3643;4432;6814;7098;10298;10298;
325;5083;5267;7711;8616;12236;12236;
326;5374;3821;7708;8113;11093;11093;
327;4829;4409;7678;7606;10950;10950;
328;4116;3844;6520;7512;10456;10456;
329;3435;4586;8122;6564;11626;11626;
330;2729;2796;7399;5805;11306;11306;
